analysis_id,tier_id,continent_id,resolution_id,scale_id,cv_budget_status,cv_budget_assignment_scope,cv_budget_source_scale_id,cv_budget_order,cv_n_iter_initial,cv_n_iter_max,cv_n_sampling,cv_n_step_size,cv_n_early_stopping,cv_measured_seconds_per_fit,cv_measured_seconds_per_epoch
modern_spatial,local,asia,genus,as_r008_l002,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l003,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l004,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l005,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l006,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l007,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l008,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l009,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l010,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l011,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
modern_spatial,local,asia,genus,as_r008_l012,calibrated,tier_fallback,am_r007_l008,1,500,2000,200,NA,NA,21.82999999999999,0.05339693892407371
paleo_spatial,continental,europe,family,europe,calibrated,exact_group,europe,1,500,2000,200,NA,NA,42.78500000000015,0.12465848806366042
paleo_spatial,continental,america,family,america,calibrated,tier_fallback,europe,1,500,2000,200,NA,NA,42.78500000000015,0.12465848806366042
paleo_spatial,continental,asia,family,asia,calibrated,tier_fallback,europe,1,500,2000,200,NA,NA,42.78500000000015,0.12465848806366042
paleo_spatial,regional,europe,family,eu_r001,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r002,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r003,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r004,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r005,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r006,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r007,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r008,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,europe,family,eu_r009,calibrated,exact_group,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r001,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r002,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r003,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r004,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r005,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r006,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r007,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r008,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r009,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r010,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r011,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,america,family,am_r012,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r001,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r002,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r003,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r004,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r005,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r006,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r007,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,regional,asia,family,as_r008,calibrated,tier_fallback,eu_r005,1,500,2000,200,NA,NA,16.8599999999999,0.04948395849960094
paleo_spatial,local,europe,family,eu_r001_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r001_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r002_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r003_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r003_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r003_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r003_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r004_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r004_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r004_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r004_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
